level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1920	1362	-1	
2	1	1	0	0	0	55	58	468	14	-1	
3	1	1	1	0	0	55	58	468	14	-1	
4	1	1	1	1	0	55	58	468	14	-1	
5	1	1	1	1	1	55	58	71	14	95.688553	RARE
5	1	1	1	1	2	151	58	192	14	95.688553	REVOLUTION
5	1	1	1	1	3	368	58	155	14	96.195343	MAGAZINE
2	1	2	0	0	0	1866	126	8	8	-1	
3	1	2	1	0	0	1866	126	8	8	-1	
4	1	2	1	1	0	1866	126	8	8	-1	
5	1	2	1	1	1	1866	126	8	8	78.727959	.
2	1	3	0	0	0	1329	69	145	89	-1	
3	1	3	1	0	0	1329	69	145	89	-1	
4	1	3	1	1	0	1329	69	145	89	-1	
5	1	3	1	1	1	1329	69	145	89	48.132519	OQ.
2	1	4	0	0	0	57	116	600	98	-1	
3	1	4	1	0	0	57	116	600	98	-1	
4	1	4	1	1	0	57	116	600	98	-1	
5	1	4	1	1	1	57	117	255	96	19.670090	POE
5	1	4	1	1	2	421	112	236	138	0.000000	OIA
2	1	5	0	0	0	1144	310	41	14	-1	
3	1	5	1	0	0	1144	310	41	14	-1	
4	1	5	1	1	0	1144	310	41	14	-1	
5	1	5	1	1	1	1144	310	41	14	18.770721	o:9
2	1	6	0	0	0	1359	209	213	130	-1	
3	1	6	1	0	0	1359	209	216	130	-1	
4	1	6	1	1	0	1359	209	213	130	-1	
5	1	6	1	1	1	1359	209	213	130	16.770248	ey.”
2	1	7	0	0	0	1675	260	200	69	-1	
3	1	7	1	0	0	1675	260	200	69	-1	
4	1	7	1	1	0	1675	260	200	69	-1	
5	1	7	1	1	1	1675	260	200	69	0.000000	ae®
2	1	8	0	0	0	1101	331	82	17	-1	
3	1	8	1	0	0	1101	331	82	17	-1	
4	1	8	1	1	0	1101	331	82	17	-1	
5	1	8	1	1	1	1101	331	82	17	30.892807	ory
5	1	8	1	1	2	1171	327	15	28	61.144428	.
2	1	9	0	0	0	56	244	742	142	-1	
3	1	9	1	0	0	56	244	742	142	-1	
4	1	9	1	1	0	56	244	742	142	-1	
5	1	9	1	1	1	56	246	265	140	95.256630	THE
5	1	9	1	1	2	369	244	429	99	59.764977	SERIES
2	1	10	0	0	0	1088	386	33	11	-1	
3	1	10	1	0	0	1088	386	33	11	-1	
4	1	10	1	1	0	1088	386	33	11	-1	
5	1	10	1	1	1	1088	386	33	11	9.816742	6
2	1	11	0	0	0	1022	396	63	22	-1	
3	1	11	1	0	0	1022	396	63	22	-1	
4	1	11	1	1	0	1022	396	63	22	-1	
