level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	960	1362	-1	
2	1	1	0	0	0	79	103	284	72	-1	
3	1	1	1	0	0	79	103	284	72	-1	
4	1	1	1	1	0	79	103	284	72	-1	
5	1	1	1	1	1	79	103	284	72	96.762596	SHOP
2	1	2	0	0	0	845	181	6	15	-1	
3	1	2	1	0	0	845	181	6	15	-1	
4	1	2	1	1	0	845	181	6	15	-1	
5	1	2	1	1	1	845	181	6	15	13.829109	\
2	1	3	0	0	0	851	153	17	71	-1	
3	1	3	1	0	0	851	153	17	71	-1	
4	1	3	1	1	0	851	153	17	71	-1	
5	1	3	1	1	1	851	153	17	71	64.050209	}
2	1	4	0	0	0	856	126	79	135	-1	
3	1	4	1	0	0	856	126	79	135	-1	
4	1	4	1	1	0	856	126	79	135	-1	
5	1	4	1	1	1	856	126	79	135	0.000000	%
2	1	5	0	0	0	830	303	21	8	-1	
3	1	5	1	0	0	830	303	21	8	-1	
4	1	5	1	1	0	830	303	21	8	-1	
5	1	5	1	1	1	830	303	21	8	35.284081	20m
2	1	6	0	0	0	308	476	198	20	-1	
3	1	6	1	0	0	308	476	198	20	-1	
4	1	6	1	1	0	308	476	198	20	-1	
5	1	6	1	1	1	308	476	80	15	96.400032	Available
5	1	6	1	1	2	395	476	19	20	90.538208	by
5	1	6	1	1	3	421	481	53	15	90.538208	region
5	1	6	1	1	4	482	481	24	10	96.234795	on:
2	1	7	0	0	0	304	517	209	37	-1	
3	1	7	1	0	0	304	517	209	37	-1	
4	1	7	1	1	0	304	517	209	37	-1	
5	1	7	1	1	1	304	517	209	37	96.362717	amazon
2	1	8	0	0	0	778	523	60	22	-1	
3	1	8	1	0	0	778	523	60	22	-1	
4	1	8	1	1	0	778	523	60	22	-1	
5	1	8	1	1	1	778	523	8	8	0.000000	v
5	1	8	1	1	2	795	527	43	18	0.000000	£i
2	1	9	0	0	0	892	514	31	23	-1	
3	1	9	1	0	0	892	514	31	23	-1	
4	1	9	1	1	0	892	514	31	23	-1	
5	1	9	1	1	1	892	514	31	23	28.100632	eg,
2	1	10	0	0	0	787	565	16	28	-1	
3	1	10	1	0	0	787	565	16	28	-1	
4	1	10	1	1	0	787	565	16	28	-1	
5	1	10	1	1	1	787	565	16	28	59.473614	@
2	1	11	0	0	0	838	591	10	11	-1	
3	1	11	1	0	0	838	591	10	11	-1	
