level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1586	992	-1	
2	1	1	0	0	0	75	70	373	32	-1	
3	1	1	1	0	0	75	70	373	32	-1	
4	1	1	1	1	0	75	70	373	32	-1	
5	1	1	1	1	1	75	70	105	32	96.837845	RARE
5	1	1	1	1	2	196	70	252	32	90.821625	REVOLUTION
2	1	2	0	0	0	217	110	94	15	-1	
3	1	2	1	0	0	217	110	94	15	-1	
4	1	2	1	1	0	217	110	94	15	-1	
5	1	2	1	1	1	217	110	94	15	96.418617	MAGAZINE
2	1	3	0	0	0	1022	112	115	53	-1	
3	1	3	1	0	0	1022	112	115	53	-1	
4	1	3	1	1	0	1022	112	115	53	-1	
5	1	3	1	1	1	1022	112	115	53	46.290051	[am
5	1	3	1	1	2	1114	105	27	64	83.384872	|
2	1	4	0	0	0	1432	133	28	28	-1	
3	1	4	1	0	0	1432	133	28	28	-1	
4	1	4	1	1	0	1432	133	28	28	-1	
5	1	4	1	1	1	1432	133	28	28	91.763779	Q
2	1	5	0	0	0	1080	172	13	9	-1	
3	1	5	1	0	0	1080	172	13	9	-1	
4	1	5	1	1	0	1080	172	13	9	-1	
5	1	5	1	1	1	1080	172	13	9	9.143494	1
2	1	6	0	0	0	1419	175	58	8	-1	
3	1	6	1	0	0	1419	175	58	8	-1	
4	1	6	1	1	0	1419	175	58	8	-1	
5	1	6	1	1	1	1419	175	58	8	95.818649	RESEARCH
2	1	7	0	0	0	1055	213	21	8	-1	
3	1	7	1	0	0	1055	213	21	8	-1	
4	1	7	1	1	0	1055	213	21	8	-1	
5	1	7	1	1	1	1055	213	21	8	85.056999	BUI
2	1	8	0	0	0	1080	193	44	9	-1	
3	1	8	1	0	0	1080	193	44	9	-1	
4	1	8	1	1	0	1080	193	44	9	-1	
5	1	8	1	1	1	1080	193	44	9	94.665314	MATION
2	1	9	0	0	0	1054	233	46	9	-1	
3	1	9	1	0	0	1054	233	46	9	-1	
4	1	9	1	1	0	1054	233	46	9	-1	
5	1	9	1	1	1	1054	233	46	9	96.879692	BETTER
2	1	10	0	0	0	1411	300	69	8	-1	
3	1	10	1	0	0	1411	300	69	8	-1	
4	1	10	1	1	0	1411	300	69	8	-1	
5	1	10	1	1	1	1411	300	69	8	67.797668	COMMUNITY
2	1	11	0	0	0	181	280	518	69	-1	
3	1	11	1	0	0	181	280	518	69	-1	
4	1	11	1	1	0	181	280	518	69	-1	
5	1	11	1	1	1	181	280	435	69	93.294006	WEBLINKS
5	1	11	1	1	2	642	289	57	60	93.294006	&
2	1	12	0	0	0	1214	376	24	8	-1	
3	1	12	1	0	0	1214	376	24	8	-1	
4	1	12	1	1	0	1214	376	24	8	-1	
5	1	12	1	1	1	1214	376	24	8	54.573292	i=
2	1	13	0	0	0	1431	392	29	21	-1	
3	1	13	1	0	0	1431	392	29	21	-1	
4	1	13	1	1	0	1431	392	29	21	-1	
5	1	13	1	1	1	1431	392	29	21	13.724327	(8)
2	1	14	0	0	0	188	372	514	70	-1	
3	1	14	1	0	0	188	372	514	70	-1	
4	1	14	1	1	0	188	372	514	70	-1	
5	1	14	1	1	1	188	372	514	70	96.722534	REFERENCES
2	1	15	0	0	0	1414	431	66	8	-1	
3	1	15	1	0	0	1414	431	66	8	-1	
4	1	15	1	1	0	1414	431	66	8	-1	
5	1	15	1	1	1	1414	431	66	8	96.454948	EDUCATION
2	1	16	0	0	0	1083	419	175	45	-1	
3	1	16	1	0	0	1083	419	175	45	-1	
4	1	16	1	1	0	1083	419	175	45	-1	
5	1	16	1	1	1	1083	419	44	45	39.360886	(#)
5	1	16	1	1	2	1149	432	109	21	78.258575	EXPLORE
2	1	17	0	0	0	1419	555	55	9	-1	
3	1	17	1	0	0	1419	555	55	9	-1	
4	1	17	1	1	0	1419	555	55	9	-1	
5	1	17	1	1	1	1419	555	55	9	95.067421	SUPPORT
2	1	18	0	0	0	205	660	112	21	-1	
3	1	18	1	0	0	205	660	112	21	-1	
4	1	18	1	1	0	205	660	112	21	-1	
5	1	18	1	1	1	205	660	96	21	83.439621	KNOWLEDGE
2	1	19	0	0	0	1195	652	56	11	-1	
3	1	19	1	0	0	1195	652	56	11	-1	
4	1	19	1	1	0	1195	652	56	11	-1	
5	1	19	1	1	1	1195	652	56	11	78.594429	RELIABL
2	1	20	0	0	0	1214	674	11	9	-1	
3	1	20	1	0	0	1214	674	11	9	-1	
4	1	20	1	1	0	1214	674	11	9	-1	
5	1	20	1	1	1	1214	674	11	9	95.282684	LE
2	1	21	0	0	0	1425	676	41	8	-1	
3	1	21	1	0	0	1425	676	41	8	-1	
4	1	21	1	1	0	1425	676	41	8	-1	
5	1	21	1	1	1	1425	676	41	8	96.558029	POLICY
2	1	22	0	0	0	340	675	34	13	-1	
3	1	22	1	0	0	340	675	34	13	-1	
4	1	22	1	1	0	340	675	34	13	-1	
5	1	22	1	1	1	340	675	34	13	79.905075	ITES
2	1	23	0	0	0	1194	693	92	12	-1	
3	1	23	1	0	0	1194	693	92	12	-1	
4	1	23	1	1	0	1194	693	92	12	-1	
5	1	23	1	1	1	1194	693	92	12	96.322472	RESPECTFUL.
2	1	24	0	0	0	168	709	101	24	-1	
3	1	24	1	0	0	168	709	101	24	-1	
4	1	24	1	1	0	168	709	101	24	-1	
5	1	24	1	1	1	168	709	62	20	88.983429	INSPIRE
5	1	24	1	1	2	245	722	6	6	70.757660	«
5	1	24	1	1	3	266	721	3	12	40.457306	1
2	1	25	0	0	0	272	722	184	35	-1	
3	1	25	1	0	0	272	722	184	35	-1	
4	1	25	1	1	0	272	722	184	35	-1	
5	1	25	1	1	1	272	722	60	19	90.402328	NFORM
5	1	25	1	1	2	348	734	5	6	54.937817	+
5	1	25	1	1	3	370	734	86	23	94.002922	EMPOWER
2	1	26	0	0	0	175	766	20	14	-1	
3	1	26	1	0	0	175	766	20	14	-1	
4	1	26	1	1	0	175	766	20	14	-1	
5	1	26	1	1	1	175	766	20	14	96.653381	RA
2	1	27	0	0	0	259	777	36	16	-1	
3	1	27	1	0	0	259	777	36	16	-1	
4	1	27	1	1	0	259	777	36	16	-1	
5	1	27	1	1	1	259	777	36	16	79.320511	AANY
2	1	28	0	0	0	326	787	70	20	-1	
3	1	28	1	0	0	326	787	70	20	-1	
4	1	28	1	1	0	326	787	70	20	-1	
5	1	28	1	1	1	326	787	49	16	92.139717	TRONG
5	1	28	1	1	2	393	796	3	11	51.677803	|
2	1	29	0	0	0	420	799	91	24	-1	
3	1	29	1	0	0	420	799	91	24	-1	
4	1	29	1	1	0	420	799	91	24	-1	
5	1	29	1	1	1	420	799	40	17	92.679718	TOGE
5	1	29	1	1	2	473	806	38	17	95.475525	THER
2	1	30	0	0	0	1267	786	150	40	-1	
3	1	30	1	0	0	1267	786	150	40	-1	
4	1	30	1	1	0	1267	786	150	40	-1	
5	1	30	1	1	1	1267	786	41	28	96.185059	It’s
5	1	30	1	1	2	1320	793	61	29	96.738899	time
5	1	30	1	1	3	1392	804	25	22	96.827881	to
2	1	31	0	0	0	523	888	27	13	-1	
3	1	31	1	0	0	523	888	27	13	-1	
4	1	31	1	1	0	523	888	27	13	-1	
5	1	31	1	1	1	523	888	4	9	13.128677	©
2	1	32	0	0	0	1227	827	204	60	-1	
3	1	32	1	0	0	1227	827	204	60	-1	
4	1	32	1	1	0	1227	827	204	60	-1	
5	1	32	1	1	1	1227	827	81	50	40.504147	hire
5	1	32	1	1	2	1319	831	42	27	96.150879	the
5	1	32	1	1	3	1371	837	60	50	95.042747	tide!
2	1	33	0	0	0	1464	884	27	36	-1	
3	1	33	1	0	0	1464	884	27	36	-1	
4	1	33	1	1	0	1464	884	27	36	-1	
5	1	33	1	1	1	1464	884	27	36	45.431782	pe
2	1	34	0	0	0	617	859	104	79	-1	
3	1	34	1	0	0	617	859	104	79	-1	
4	1	34	1	1	0	617	859	104	79	-1	
5	1	34	1	1	1	617	859	104	79	32.176453	p-
