level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	960	681	-1	
2	1	1	0	0	0	268	63	110	50	-1	
3	1	1	1	0	0	268	63	110	50	-1	
4	1	1	1	1	0	268	63	110	50	-1	
5	1	1	1	1	1	268	63	110	50	27.269684	ay
2	1	2	0	0	0	294	125	32	10	-1	
3	1	2	1	0	0	294	125	32	10	-1	
4	1	2	1	1	0	294	125	32	10	-1	
5	1	2	1	1	1	294	125	32	10	46.838036	ar
2	1	3	0	0	0	55	125	185	51	-1	
3	1	3	1	0	0	55	125	185	51	-1	
4	1	3	1	1	0	55	125	185	51	-1	
5	1	3	1	1	1	55	125	185	51	96.590034	Explore
2	1	4	0	0	0	55	174	264	39	-1	
3	1	4	1	0	0	55	174	264	39	-1	
4	1	4	1	1	0	55	174	264	39	-1	
5	1	4	1	1	1	55	186	127	27	96.552650	more
5	1	4	1	1	2	200	174	119	39	96.144920	from
2	1	5	0	0	0	55	226	178	46	-1	
3	1	5	1	0	0	55	226	178	46	-1	
4	1	5	1	1	0	55	226	178	46	-1	
5	1	5	1	1	1	55	226	178	46	96.517334	RARE
2	1	6	0	0	0	0	292	18	34	-1	
3	1	6	1	0	0	0	292	18	34	-1	
4	1	6	1	1	0	0	292	18	34	-1	
5	1	6	1	1	1	0	292	18	34	48.505020	.
2	1	7	0	0	0	55	285	229	41	-1	
3	1	7	1	0	0	55	285	229	41	-1	
4	1	7	1	1	0	55	285	229	41	-1	
5	1	7	1	1	1	55	285	229	41	91.535011	Revolutio
2	1	8	0	0	0	0	336	27	33	-1	
3	1	8	1	0	0	0	336	27	33	-1	
4	1	8	1	1	0	0	336	27	33	-1	
5	1	8	1	1	1	0	336	27	33	0.000000	e
2	1	9	0	0	0	55	340	257	54	-1	
3	1	9	1	0	0	55	340	257	54	-1	
4	1	9	1	1	0	55	340	257	54	-1	
5	1	9	1	1	1	55	340	257	54	96.398911	Magazine
2	1	10	0	0	0	612	498	27	8	-1	
3	1	10	1	0	0	612	498	27	8	-1	
4	1	10	1	1	0	612	498	27	8	-1	
5	1	10	1	1	1	612	498	27	8	17.854553	SS
2	1	11	0	0	0	697	526	60	8	-1	
3	1	11	1	0	0	697	526	60	8	-1	
4	1	11	1	1	0	697	526	60	8	-1	
5	1	11	1	1	1	697	526	60	8	20.365822	Se
2	1	12	0	0	0	857	534	43	6	-1	
3	1	12	1	0	0	857	534	43	6	-1	
4	1	12	1	1	0	857	534	43	6	-1	
5	1	12	1	1	1	857	534	43	6	48.990410	=
2	1	13	0	0	0	756	628	204	21	-1	
3	1	13	1	0	0	756	628	204	21	-1	
4	1	13	1	1	0	756	628	204	21	-1	
5	1	13	1	1	1	756	628	90	21	96.489532	RARE
5	1	13	1	1	2	833	618	13	35	82.396370	|
5	1	13	1	1	3	855	630	64	8	0.000000	exgune
5	1	13	1	1	4	935	635	25	12	29.690033	_
2	1	14	0	0	0	855	641	52	7	-1	
3	1	14	1	0	0	855	641	52	7	-1	
4	1	14	1	1	0	855	641	52	7	-1	
5	1	14	1	1	1	855	641	52	7	95.098206	MAGAZINE
