level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1920	1362	-1	
2	1	1	0	0	0	124	78	215	21	-1	
3	1	1	1	0	0	124	78	215	21	-1	
4	1	1	1	1	0	124	78	215	21	-1	
5	1	1	1	1	1	124	78	83	21	15.893028	RARE
5	1	1	1	1	2	215	78	95	19	25.317886	Revolution
2	1	2	0	0	0	1086	68	604	64	-1	
3	1	2	1	0	0	1086	68	604	64	-1	
4	1	2	1	1	0	1086	68	604	64	-1	
5	1	2	1	1	1	1086	68	239	64	95.640327	Choose
5	1	2	1	1	2	1347	68	105	64	95.640327	the
5	1	2	1	1	3	1476	86	214	46	96.917145	access
2	1	3	0	0	0	81	73	29	152	-1	
3	1	3	1	0	0	81	73	29	152	-1	
4	1	3	1	1	0	81	73	29	152	-1	
5	1	3	1	1	1	81	73	29	152	32.941772	|
2	1	4	0	0	0	124	115	215	92	-1	
3	1	4	1	0	0	124	115	215	92	-1	
4	1	4	1	1	0	124	115	215	92	-1	
5	1	4	1	1	1	124	115	215	92	74.464775	INS!
2	1	5	0	0	0	355	84	200	123	-1	
3	1	5	1	0	0	355	84	200	123	-1	
4	1	5	1	1	0	355	84	200	123	-1	
5	1	5	1	1	1	355	84	200	123	96.948090	der
2	1	6	0	0	0	1085	155	601	78	-1	
3	1	6	1	0	0	1085	155	601	78	-1	
4	1	6	1	1	0	1085	155	601	78	-1	
5	1	6	1	1	1	1085	155	133	63	96.787453	that
5	1	6	1	1	2	1237	155	102	63	96.529488	fits
5	1	6	1	1	3	1360	173	145	60	96.505936	your
5	1	6	1	1	4	1526	155	160	63	96.136292	work
2	1	7	0	0	0	1086	259	580	26	-1	
3	1	7	1	0	0	1086	259	580	26	-1	
4	1	7	1	1	0	1086	259	580	26	-1	
5	1	7	1	1	1	1086	259	81	20	97.009277	Trusted
5	1	7	1	1	2	1177	265	41	14	95.934830	rare
5	1	7	1	1	3	1227	259	80	21	96.587624	disease
5	1	7	1	1	4	1316	259	124	26	96.438431	intelligence,
5	1	7	1	1	5	1455	259	132	26	96.570290	professional
5	1	7	1	1	6	1595	259	71	26	96.931000	insight
2	1	8	0	0	0	1086	299	418	25	-1	
3	1	8	1	0	0	1086	299	418	25	-1	
4	1	8	1	1	0	1086	299	418	25	-1	
5	1	8	1	1	1	1086	299	39	20	96.878288	and
5	1	8	1	1	2	1135	299	94	25	93.306229	practical
5	1	8	1	1	3	1236	299	161	20	90.974052	tools—without
5	1	8	1	1	4	1405	299	34	20	97.001091	the
5	1	8	1	1	5	1449	305	55	14	93.825348	noise.
