level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1920	1362	-1	
2	1	1	0	0	0	106	87	336	13	-1	
3	1	1	1	0	0	106	87	336	13	-1	
4	1	1	1	1	0	106	87	336	13	-1	
5	1	1	1	1	1	106	87	54	13	95.472450	RARE
5	1	1	1	1	2	173	87	140	13	95.472450	REVOLUTION
5	1	1	1	1	3	327	87	115	13	96.075500	MAGAZINE
2	1	2	0	0	0	1770	82	42	12	-1	
3	1	2	1	0	0	1770	82	42	12	-1	
4	1	2	1	1	0	1770	82	42	12	-1	
5	1	2	1	1	1	1770	82	42	12	10.791924	ee
2	1	3	0	0	0	1299	236	38	31	-1	
3	1	3	1	0	0	1299	236	38	31	-1	
4	1	3	1	1	0	1299	236	38	31	-1	
5	1	3	1	1	1	1299	236	38	31	11.462067	Zt
2	1	4	0	0	0	1562	245	206	16	-1	
3	1	4	1	0	0	1562	245	206	16	-1	
4	1	4	1	1	0	1562	245	206	16	-1	
5	1	4	1	1	1	1562	245	14	16	93.239136	A
5	1	4	1	1	2	1586	245	42	16	93.239136	DAY
5	1	4	1	1	3	1638	245	21	16	96.006195	IN
5	1	4	1	1	4	1669	245	43	16	96.238556	THE
5	1	4	1	1	5	1723	245	45	16	96.837540	LIFE
2	1	5	0	0	0	106	198	371	92	-1	
3	1	5	1	0	0	106	198	371	92	-1	
4	1	5	1	1	0	106	198	371	92	-1	
5	1	5	1	1	1	106	198	371	92	96.563004	RARE
2	1	6	0	0	0	1448	275	23	15	-1	
3	1	6	1	0	0	1448	275	23	15	-1	
4	1	6	1	1	0	1448	275	23	15	-1	
5	1	6	1	1	1	1448	275	23	15	65.799377	Vig
2	1	7	0	0	0	1562	286	45	1	-1	
3	1	7	1	0	0	1562	286	45	1	-1	
4	1	7	1	1	0	1562	286	45	1	-1	
5	1	7	1	1	1	1562	286	45	1	54.715939	=
2	1	8	0	0	0	1630	286	5	1	-1	
3	1	8	1	0	0	1630	286	5	1	-1	
4	1	8	1	1	0	1630	286	5	1	-1	
5	1	8	1	1	1	1630	286	5	1	72.916855	2
2	1	9	0	0	0	1694	286	24	1	-1	
3	1	9	1	0	0	1694	286	24	1	-1	
4	1	9	1	1	0	1694	286	24	1	-1	
5	1	9	1	1	1	1694	286	24	1	33.475121	aoe
2	1	10	0	0	0	1766	286	13	1	-1	
3	1	10	1	0	0	1766	286	13	1	-1	
4	1	10	1	1	0	1766	286	13	1	-1	
5	1	10	1	1	1	1766	286	13	1	70.627686	=
2	1	11	0	0	0	1411	320	19	17	-1	
3	1	11	1	0	0	1411	320	19	17	-1	
4	1	11	1	1	0	1411	320	19	17	-1	
5	1	11	1	1	1	1411	320	19	17	16.756454	We
2	1	12	0	0	0	1562	319	259	16	-1	
3	1	12	1	0	0	1562	319	259	16	-1	
4	1	12	1	1	0	1562	319	259	16	-1	
5	1	12	1	1	1	1562	319	100	16	93.278748	CHARITY
5	1	12	1	1	2	1672	319	13	16	92.199562	&
5	1	12	1	1	3	1696	319	125	16	96.765884	ADVOCACY
2	1	13	0	0	0	1707	362	102	1	-1	
3	1	13	1	0	0	1707	362	102	1	-1	
4	1	13	1	1	0	1707	362	102	1	-1	
5	1	13	1	1	1	1707	362	102	1	17.224312	——E
2	1	14	0	0	0	1340	380	22	10	-1	
3	1	14	1	0	0	1340	380	22	10	-1	
4	1	14	1	1	0	1340	380	22	10	-1	
5	1	14	1	1	1	1340	380	22	10	43.562656	YY,
2	1	15	0	0	0	106	321	655	94	-1	
3	1	15	1	0	0	106	321	655	94	-1	
4	1	15	1	1	0	106	321	655	94	-1	
5	1	15	1	1	1	106	321	655	94	96.230080	INSIGHTS
2	1	16	0	0	0	1293	402	10	7	-1	
3	1	16	1	0	0	1293	402	10	7	-1	
4	1	16	1	1	0	1293	402	10	7	-1	
5	1	16	1	1	1	1293	402	10	7	74.836266	y
2	1	17	0	0	0	1563	394	232	16	-1	
3	1	17	1	0	0	1563	394	232	16	-1	
4	1	17	1	1	0	1563	394	232	16	-1	
5	1	17	1	1	1	1563	394	114	16	96.084656	INDUSTRY
5	1	17	1	1	2	1688	394	107	16	94.194405	INSIGHTS
2	1	18	0	0	0	1354	409	14	10	-1	
3	1	18	1	0	0	1354	409	14	10	-1	
4	1	18	1	1	0	1354	409	14	10	-1	
5	1	18	1	1	1	1354	409	14	10	0.000000	we
2	1	19	0	0	0	1562	437	144	1	-1	
3	1	19	1	0	0	1562	437	144	1	-1	
4	1	19	1	1	0	1562	437	144	1	-1	
5	1	19	1	1	1	1562	437	144	1	46.059921	ae
2	1	20	0	0	0	1731	437	41	1	-1	
3	1	20	1	0	0	1731	437	41	1	-1	
4	1	20	1	1	0	1731	437	41	1	-1	
5	1	20	1	1	1	1731	437	41	1	8.943680	——
2	1	21	0	0	0	106	453	310	24	-1	
3	1	21	1	0	0	106	453	310	24	-1	
4	1	21	1	1	0	106	453	310	24	-1	
5	1	21	1	1	1	106	453	111	24	96.630287	Stories
5	1	21	1	1	2	229	453	64	24	96.210785	that
5	1	21	1	1	3	305	453	111	24	96.603218	inform.
2	1	22	0	0	0	1175	462	10	10	-1	
3	1	22	1	0	0	1175	462	10	10	-1	
4	1	22	1	1	0	1175	462	10	10	-1	
5	1	22	1	1	1	1175	462	10	10	42.696037	Hy
2	1	23	0	0	0	1181	477	44	19	-1	
3	1	23	1	0	0	1181	477	44	19	-1	
4	1	23	1	1	0	1181	477	44	19	-1	
5	1	23	1	1	1	1181	477	44	19	37.699196	Ig
5	1	23	1	1	2	1210	473	19	31	0.000000	f/
2	1	24	0	0	0	1563	469	98	16	-1	
3	1	24	1	0	0	1563	469	98	16	-1	
4	1	24	1	1	0	1563	469	98	16	-1	
5	1	24	1	1	1	1563	469	98	16	96.552284	LETTERS
2	1	25	0	0	0	108	492	397	30	-1	
3	1	25	1	0	0	108	492	397	30	-1	
4	1	25	1	1	0	108	492	397	30	-1	
5	1	25	1	1	1	108	492	203	30	96.758171	Perspectives
5	1	25	1	1	2	323	492	64	24	96.178101	that
5	1	25	1	1	3	400	492	105	30	96.587433	inspire
2	1	26	0	0	0	1289	501	32	12	-1	
3	1	26	1	0	0	1289	501	32	12	-1	
4	1	26	1	1	0	1289	501	32	12	-1	
5	1	26	1	1	1	1289	501	32	12	60.427193	iy
2	1	27	0	0	0	1677	512	15	1	-1	
3	1	27	1	0	0	1677	512	15	1	-1	
4	1	27	1	1	0	1677	512	15	1	-1	
5	1	27	1	1	1	1677	512	15	1	67.821503	—
2	1	28	0	0	0	1728	512	119	1	-1	
3	1	28	1	0	0	1728	512	119	1	-1	
4	1	28	1	1	0	1728	512	119	1	-1	
5	1	28	1	1	1	1728	512	119	1	12.660034	——
2	1	29	0	0	0	1563	544	104	16	-1	
3	1	29	1	0	0	1563	544	104	16	-1	
4	1	29	1	1	0	1563	544	104	16	-1	
5	1	29	1	1	1	1563	544	104	16	96.830612	MEDICAL
2	1	30	0	0	0	106	558	312	21	-1	
3	1	30	1	0	0	106	558	312	21	-1	
4	1	30	1	1	0	106	558	312	21	-1	
5	1	30	1	1	1	106	558	112	21	96.629051	Thoughtful
5	1	30	1	1	2	226	559	119	20	96.789589	storytelling,
5	1	30	1	1	3	353	561	65	18	96.903870	expert
2	1	31	0	0	0	1114	532	31	34	-1	
3	1	31	1	0	0	1114	532	31	34	-1	
4	1	31	1	1	0	1114	532	31	34	-1	
5	1	31	1	1	1	1114	532	31	34	60.673851	MI
2	1	32	0	0	0	1148	563	21	10	-1	
3	1	32	1	0	0	1148	563	21	10	-1	
4	1	32	1	1	0	1148	563	21	10	-1	
5	1	32	1	1	1	1148	563	21	10	31.769272	“if
2	1	33	0	0	0	107	588	286	20	-1	
3	1	33	1	0	0	107	588	286	20	-1	
4	1	33	1	1	0	107	588	286	20	-1	
5	1	33	1	1	1	107	588	133	20	96.587364	perspectives,
5	1	33	1	1	2	249	588	36	16	96.928352	and
5	1	33	1	1	3	294	588	35	16	96.166321	real
5	1	33	1	1	4	337	588	56	16	95.988007	world
2	1	34	0	0	0	106	616	291	20	-1	
3	1	34	1	0	0	106	616	291	20	-1	
4	1	34	1	1	0	106	616	291	20	-1	
5	1	34	1	1	1	106	616	123	20	96.690010	experiences
5	1	34	1	1	2	237	616	47	17	96.320808	from
5	1	34	1	1	3	292	620	65	13	96.520920	across
5	1	34	1	1	4	364	616	33	17	96.285027	the
2	1	35	0	0	0	1077	607	26	37	-1	
3	1	35	1	0	0	1077	607	26	37	-1	
4	1	35	1	1	0	1077	607	26	37	-1	
5	1	35	1	1	1	1077	607	26	37	39.974937	Ye
2	1	36	0	0	0	1563	618	65	17	-1	
3	1	36	1	0	0	1563	618	65	17	-1	
4	1	36	1	1	0	1563	618	65	17	-1	
5	1	36	1	1	1	1563	618	65	17	96.823357	NEWS
2	1	37	0	0	0	107	645	247	21	-1	
3	1	37	1	0	0	107	645	247	21	-1	
4	1	37	1	1	0	107	645	247	21	-1	
5	1	37	1	1	1	107	649	39	12	96.801933	rare
5	1	37	1	1	2	153	645	76	16	96.439461	disease
5	1	37	1	1	3	237	645	117	21	47.910004	community.
2	1	38	0	0	0	1672	661	99	1	-1	
3	1	38	1	0	0	1672	661	99	1	-1	
4	1	38	1	1	0	1672	661	99	1	-1	
5	1	38	1	1	1	1672	661	99	1	29.807564	a
2	1	39	0	0	0	1563	693	174	17	-1	
3	1	39	1	0	0	1563	693	174	17	-1	
4	1	39	1	1	0	1563	693	174	17	-1	
5	1	39	1	1	1	1563	693	96	16	96.309105	PATIENT
5	1	39	1	1	2	1668	693	69	17	96.290855	VOICE
2	1	40	0	0	0	1126	718	6	8	-1	
3	1	40	1	0	0	1126	718	6	8	-1	
4	1	40	1	1	0	1126	718	6	8	-1	
5	1	40	1	1	1	1122	706	5	28	50.386124	/
2	1	41	0	0	0	1565	736	80	1	-1	
3	1	41	1	0	0	1565	736	80	1	-1	
4	1	41	1	1	0	1565	736	80	1	-1	
5	1	41	1	1	1	1565	736	80	1	0.000000	a
2	1	42	0	0	0	1706	736	123	1	-1	
3	1	42	1	0	0	1706	736	123	1	-1	
4	1	42	1	1	0	1706	736	123	1	-1	
5	1	42	1	1	1	1706	736	123	1	23.159569	a
2	1	43	0	0	0	1563	769	214	16	-1	
3	1	43	1	0	0	1563	769	214	16	-1	
4	1	43	1	1	0	1563	769	214	16	-1	
5	1	43	1	1	1	1563	769	59	15	96.435204	RARE
5	1	43	1	1	2	1633	769	144	16	96.284363	CAREGIVING
2	1	44	0	0	0	1563	842	209	17	-1	
3	1	44	1	0	0	1563	842	209	17	-1	
4	1	44	1	1	0	1563	842	209	17	-1	
5	1	44	1	1	1	1563	842	59	16	96.521530	RARE
5	1	44	1	1	2	1634	842	138	17	96.281616	RAMBLINGS
2	1	45	0	0	0	614	869	48	16	-1	
3	1	45	1	0	0	614	869	48	16	-1	
4	1	45	1	1	0	614	869	48	16	-1	
5	1	45	1	1	1	614	869	48	16	78.543549	SS
2	1	46	0	0	0	1565	884	25	1	-1	
3	1	46	1	0	0	1565	884	25	1	-1	
4	1	46	1	1	0	1565	884	25	1	-1	
5	1	46	1	1	1	1565	884	25	1	56.519623	—
2	1	47	0	0	0	1619	884	89	1	-1	
3	1	47	1	0	0	1619	884	89	1	-1	
4	1	47	1	1	0	1619	884	89	1	-1	
5	1	47	1	1	1	1619	884	89	1	25.851074	a
2	1	48	0	0	0	1759	884	55	1	-1	
3	1	48	1	0	0	1759	884	55	1	-1	
4	1	48	1	1	0	1759	884	55	1	-1	
5	1	48	1	1	1	1759	884	55	1	14.679909	=
2	1	49	0	0	0	596	905	11	5	-1	
3	1	49	1	0	0	596	905	11	5	-1	
4	1	49	1	1	0	596	905	11	5	-1	
5	1	49	1	1	1	596	905	11	5	0.000000	e:
2	1	50	0	0	0	150	923	68	17	-1	
3	1	50	1	0	0	150	923	68	17	-1	
4	1	50	1	1	0	150	923	68	17	-1	
5	1	50	1	1	1	150	923	68	17	26.643311	thou
2	1	51	0	0	0	735	915	16	10	-1	
3	1	51	1	0	0	735	915	16	10	-1	
4	1	51	1	1	0	735	915	16	10	-1	
5	1	51	1	1	1	735	915	16	10	46.819283	SS
2	1	52	0	0	0	1563	916	180	16	-1	
3	1	52	1	0	0	1563	916	180	16	-1	
4	1	52	1	1	0	1563	916	180	16	-1	
5	1	52	1	1	1	1563	916	59	16	93.300316	RARE
5	1	52	1	1	2	1634	916	109	16	91.659721	REV-INAR
2	1	53	0	0	0	813	927	36	19	-1	
3	1	53	1	0	0	813	927	36	19	-1	
4	1	53	1	1	0	813	927	36	19	-1	
5	1	53	1	1	1	813	927	36	19	43.777985	Ss
2	1	54	0	0	0	192	978	27	23	-1	
3	1	54	1	0	0	192	978	27	23	-1	
4	1	54	1	1	0	192	978	27	23	-1	
5	1	54	1	1	1	192	978	27	23	64.531479	J
2	1	55	0	0	0	1563	989	101	16	-1	
3	1	55	1	0	0	1563	989	101	16	-1	
4	1	55	1	1	0	1563	989	101	16	-1	
5	1	55	1	1	1	1563	989	101	16	96.281235	REVIEWS
2	1	56	0	0	0	148	1005	19	19	-1	
3	1	56	1	0	0	148	1005	19	19	-1	
4	1	56	1	1	0	148	1005	19	19	-1	
5	1	56	1	1	1	148	1005	19	19	32.453781	Y
2	1	57	0	0	0	916	992	17	14	-1	
3	1	57	1	0	0	916	992	17	14	-1	
4	1	57	1	1	0	916	992	17	14	-1	
5	1	57	1	1	1	916	992	17	14	65.154572	Se
2	1	58	0	0	0	1655	1031	85	1	-1	
3	1	58	1	0	0	1655	1031	85	1	-1	
4	1	58	1	1	0	1655	1031	85	1	-1	
5	1	58	1	1	1	1655	1031	85	1	24.613007	—
2	1	59	0	0	0	1762	1031	16	1	-1	
3	1	59	1	0	0	1762	1031	16	1	-1	
4	1	59	1	1	0	1762	1031	16	1	-1	
5	1	59	1	1	1	1762	1031	16	1	73.227005	—
2	1	60	0	0	0	1801	1031	33	1	-1	
3	1	60	1	0	0	1801	1031	33	1	-1	
4	1	60	1	1	0	1801	1031	33	1	-1	
5	1	60	1	1	1	1801	1031	33	1	21.713837	—_
2	1	61	0	0	0	1563	1062	192	42	-1	
3	1	61	1	0	0	1563	1062	192	42	-1	
4	1	61	1	1	0	1563	1062	192	42	-1	
5	1	61	1	1	1	1563	1062	100	42	9.241623	ai
5	1	61	1	1	2	1673	1063	14	16	93.117737	&
5	1	61	1	1	3	1697	1062	58	17	96.247902	TECH
2	1	62	0	0	0	1563	1134	221	17	-1	
