level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	828	1171	-1	
2	1	1	0	0	0	26	314	347	49	-1	
3	1	1	1	0	0	26	314	347	49	-1	
4	1	1	1	1	0	26	314	347	49	-1	
5	1	1	1	1	1	26	314	85	39	94.272034	The
5	1	1	1	1	2	132	315	170	48	94.272034	impact
5	1	1	1	1	3	322	314	51	40	96.717445	of
2	1	2	0	0	0	27	373	325	40	-1	
3	1	2	1	0	0	27	373	325	40	-1	
4	1	2	1	1	0	27	373	325	40	-1	
5	1	2	1	1	1	27	374	121	38	96.628845	RARE
5	1	2	1	1	2	169	373	183	40	96.032478	disease
2	1	3	0	0	0	728	431	68	13	-1	
3	1	3	1	0	0	728	431	68	13	-1	
4	1	3	1	1	0	728	431	68	13	-1	
5	1	3	1	1	1	728	435	7	9	55.623703	N
5	1	3	1	1	2	769	431	27	12	38.436199	pets
2	1	4	0	0	0	26	431	231	49	-1	
3	1	4	1	0	0	26	431	231	49	-1	
4	1	4	1	1	0	26	431	231	49	-1	
5	1	4	1	1	1	26	443	55	28	96.109489	on
5	1	4	1	1	2	103	431	154	49	96.109489	sibling
2	1	5	0	0	0	26	490	270	48	-1	
3	1	5	1	0	0	26	490	270	48	-1	
4	1	5	1	1	0	26	490	270	48	-1	
5	1	5	1	1	1	26	490	270	48	95.853394	experience
2	1	6	0	0	0	26	574	279	39	-1	
3	1	6	1	0	0	26	574	279	39	-1	
4	1	6	1	1	0	26	574	279	39	-1	
5	1	6	1	1	1	26	574	140	39	94.926292	Impact
5	1	6	1	1	2	182	577	123	36	95.872513	report
2	1	7	0	0	0	223	900	15	10	-1	
3	1	7	1	0	0	223	900	15	10	-1	
4	1	7	1	1	0	223	900	15	10	-1	
5	1	7	1	1	1	223	900	15	10	73.936951	~
2	1	8	0	0	0	277	887	31	27	-1	
3	1	8	1	0	0	277	887	31	27	-1	
4	1	8	1	1	0	277	887	31	27	-1	
5	1	8	1	1	1	277	887	31	27	33.312859	4
2	1	9	0	0	0	1	1081	46	3	-1	
3	1	9	1	0	0	1	1081	46	3	-1	
4	1	9	1	1	0	1	1081	46	3	-1	
5	1	9	1	1	1	1	1081	46	3	40.101948	iil
2	1	10	0	0	0	515	1058	299	51	-1	
3	1	10	1	0	0	515	1058	299	51	-1	
4	1	10	1	1	0	515	1058	299	51	-1	
5	1	10	1	1	1	515	1058	299	51	7.775917	ALEXION’
2	1	11	0	0	0	111	1088	158	75	-1	
3	1	11	1	0	0	111	1088	158	75	-1	
4	1	11	1	1	0	111	1088	158	75	-1	
5	1	11	1	1	1	111	1088	158	75	52.158409	ae
2	1	12	0	0	0	516	1122	286	18	-1	
3	1	12	1	0	0	516	1122	286	18	-1	
4	1	12	1	1	0	516	1122	286	18	-1	
5	1	12	1	1	1	516	1122	136	18	96.176949	AstraZeneca
5	1	12	1	1	2	661	1122	49	18	96.715332	Rare
5	1	12	1	1	3	720	1122	82	18	96.649033	Disease
