level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1447	1087	-1	
2	1	1	0	0	0	227	32	129	26	-1	
3	1	1	1	0	0	227	32	129	26	-1	
4	1	1	1	1	0	227	32	129	26	-1	
5	1	1	1	1	1	227	32	106	26	95.624672	Become
5	1	1	1	1	2	342	39	14	19	95.097092	a
2	1	2	0	0	0	868	31	252	23	-1	
3	1	2	1	0	0	868	31	252	23	-1	
4	1	2	1	1	0	868	31	252	23	-1	
5	1	2	1	1	1	868	31	48	23	96.968552	Our
5	1	2	1	1	2	924	31	92	23	96.691231	Mission
5	1	2	1	1	3	1023	31	44	23	96.823845	and
5	1	2	1	1	4	1075	31	45	23	96.789474	Visi
2	1	3	0	0	0	595	49	36	32	-1	
3	1	3	1	0	0	595	49	36	32	-1	
4	1	3	1	1	0	595	49	36	32	-1	
5	1	3	1	1	1	595	49	36	32	93.778595	+.
2	1	4	0	0	0	996	63	14	13	-1	
3	1	4	1	0	0	996	63	14	13	-1	
4	1	4	1	1	0	996	63	14	13	-1	
5	1	4	1	1	1	996	63	14	13	49.945938	ye
2	1	5	0	0	0	772	93	339	12	-1	
3	1	5	1	0	0	772	93	339	12	-1	
4	1	5	1	1	0	772	93	339	12	-1	
5	1	5	1	1	1	772	93	29	9	96.902298	RARE
5	1	5	1	1	2	806	93	58	9	96.420822	Revolution
5	1	5	1	1	3	868	93	57	12	96.783546	Publishing
5	1	5	1	1	4	930	95	8	7	96.364105	is
5	1	5	1	1	5	942	93	56	9	96.813339	dedicated
5	1	5	1	1	6	1003	95	10	7	96.837318	to
5	1	5	1	1	7	1018	93	32	12	96.837318	telling
5	1	5	1	1	8	1055	93	17	9	96.859039	the
5	1	5	1	1	9	1077	93	34	9	96.367851	untold
2	1	6	0	0	0	39	72	415	44	-1	
3	1	6	1	0	0	39	72	415	44	-1	
4	1	6	1	1	0	39	72	415	44	-1	
5	1	6	1	1	1	39	74	154	41	96.582329	RARE
5	1	6	1	1	2	209	72	245	44	96.364319	Revolution
2	1	7	0	0	0	772	112	104	9	-1	
3	1	7	1	0	0	772	112	104	9	-1	
4	1	7	1	1	0	772	112	104	9	-1	
5	1	7	1	1	1	772	114	36	7	87.765266	stories
5	1	7	1	1	2	812	112	22	9	87.765266	that
5	1	7	1	1	3	838	115	38	6	31.997688	ensure.
2	1	8	0	0	0	909	112	9	10	-1	
3	1	8	1	0	0	909	112	9	10	-1	
4	1	8	1	1	0	909	112	9	10	-1	
5	1	8	1	1	1	909	112	9	10	47.364410	le
2	1	9	0	0	0	949	112	40	9	-1	
3	1	9	1	0	0	949	112	40	9	-1	
4	1	9	1	1	0	949	112	40	9	-1	
5	1	9	1	1	1	949	112	31	9	93.283936	visible
5	1	9	1	1	2	983	115	6	6	86.559822	w
2	1	10	0	0	0	1001	112	116	9	-1	
3	1	10	1	0	0	1001	112	116	9	-1	
4	1	10	1	1	0	1001	112	116	9	-1	
5	1	10	1	1	1	1001	112	16	9	87.169579	hin
5	1	10	1	1	2	1021	112	21	9	96.574661	and
5	1	10	1	1	3	1046	112	42	9	94.872070	outside
5	1	10	1	1	4	1092	112	25	9	94.718117	their
2	1	11	0	0	0	771	131	308	12	-1	
3	1	11	1	0	0	771	131	308	12	-1	
4	1	11	1	1	0	771	131	308	12	-1	
5	1	11	1	1	1	771	133	74	8	76.432800	communities
5	1	11	1	1	2	849	134	37	7	96.540184	across
5	1	11	1	1	3	890	131	18	9	96.540184	the
5	1	11	1	1	4	912	134	22	7	93.447456	rare
5	1	11	1	1	5	937	131	43	10	96.786484	disease
5	1	11	1	1	6	984	133	60	10	95.481941	ecosystem.
5	1	11	1	1	7	1052	131	27	9	95.735657	From
2	1	12	0	0	0	771	151	20	9	-1	
3	1	12	1	0	0	771	151	20	9	-1	
4	1	12	1	1	0	771	151	20	9	-1	
5	1	12	1	1	1	771	151	20	9	62.521305	adv
2	1	13	0	0	0	806	152	10	8	-1	
3	1	13	1	0	0	806	152	10	8	-1	
4	1	13	1	1	0	806	152	10	8	-1	
5	1	13	1	1	1	806	152	10	8	72.827927	at
2	1	14	0	0	0	833	151	76	9	-1	
3	1	14	1	0	0	833	151	76	9	-1	
