level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1920	1362	-1	
2	1	1	0	0	0	85	118	381	19	-1	
3	1	1	1	0	0	85	118	381	19	-1	
4	1	1	1	1	0	85	118	381	19	-1	
5	1	1	1	1	1	85	118	62	19	96.508980	RARE
5	1	1	1	1	2	161	118	159	19	96.551720	REVOLUTION
5	1	1	1	1	3	335	118	131	19	96.645660	MAGAZINE
2	1	2	0	0	0	84	192	90	4	-1	
3	1	2	1	0	0	84	192	90	4	-1	
4	1	2	1	1	0	84	192	90	4	-1	
5	1	2	1	1	1	84	192	90	4	30.500824	—
2	1	3	0	0	0	1228	345	345	30	-1	
3	1	3	1	0	0	1228	345	345	30	-1	
4	1	3	1	1	0	1228	345	345	30	-1	
5	1	3	1	1	1	1228	346	25	23	96.743210	10
5	1	3	1	1	2	1261	346	43	29	96.743210	Top
5	1	3	1	1	3	1313	346	48	29	96.668037	Tips
5	1	3	1	1	4	1370	345	32	24	96.384766	for
5	1	3	1	1	5	1412	346	64	23	96.812141	RARE
5	1	3	1	1	6	1487	348	86	27	97.003143	parents
2	1	4	0	0	0	85	275	806	110	-1	
3	1	4	1	0	0	85	275	806	110	-1	
4	1	4	1	1	0	85	275	806	110	-1	
5	1	4	1	1	1	85	275	806	110	96.399971	RESOURCES
2	1	5	0	0	0	1193	334	3	50	-1	
3	1	5	1	0	0	1193	334	3	50	-1	
4	1	5	1	1	0	1193	334	3	50	-1	
5	1	5	1	1	1	1193	334	3	50	92.513969	|
2	1	6	0	0	0	1228	431	344	30	-1	
3	1	6	1	0	0	1228	431	344	30	-1	
4	1	6	1	1	0	1228	431	344	30	-1	
5	1	6	1	1	1	1228	431	25	23	96.910934	10
5	1	6	1	1	2	1261	431	43	30	96.226372	Top
5	1	6	1	1	3	1313	431	48	30	96.226372	Tips
5	1	6	1	1	4	1370	431	32	23	96.508041	for
5	1	6	1	1	5	1411	431	64	23	96.508041	RARE
5	1	6	1	1	6	1486	434	86	27	96.383095	parents
2	1	7	0	0	0	84	436	565	45	-1	
3	1	7	1	0	0	84	436	565	45	-1	
4	1	7	1	1	0	84	436	565	45	-1	
5	1	7	1	1	1	84	436	117	35	96.575584	Tools.
5	1	7	1	1	2	217	437	177	44	96.203751	Support.
5	1	7	1	1	3	411	436	238	45	96.203751	Knowledge.
2	1	8	0	0	0	87	497	434	45	-1	
3	1	8	1	0	0	87	497	434	45	-1	
4	1	8	1	1	0	87	497	434	45	-1	
5	1	8	1	1	1	87	497	257	45	96.055138	Empowering
5	1	8	1	1	2	361	497	66	36	96.055138	the
5	1	8	1	1	3	444	508	77	25	96.917191	rare
2	1	9	0	0	0	1228	465	199	61	-1	
3	1	9	1	0	0	1228	465	199	61	-1	
4	1	9	1	1	0	1228	465	199	61	-1	
5	1	9	1	1	1	1228	470	23	24	96.639275	of
5	1	9	1	1	2	1261	470	64	52	32.142723	ite
5	1	9	1	1	3	1334	465	93	61	0.000000	eplidien
2	1	10	0	0	0	1422	520	22	2	-1	
3	1	10	1	0	0	1422	520	22	2	-1	
4	1	10	1	1	0	1422	520	22	2	-1	
5	1	10	1	1	1	1422	520	22	2	17.044083	eee
2	1	11	0	0	0	1227	520	382	59	-1	
3	1	11	1	0	0	1227	520	382	59	-1	
4	1	11	1	1	0	1227	520	382	59	-1	
5	1	11	1	1	1	1227	549	43	30	96.485123	Top
5	1	11	1	1	2	1280	549	24	24	96.890640	10
5	1	11	1	1	3	1314	549	47	30	96.711533	Tips
5	1	11	1	1	4	1369	549	32	23	96.711533	for
5	1	11	1	1	5	1410	520	63	52	88.661804	RARE
5	1	11	1	1	6	1483	520	126	53	18.309937	nee
2	1	12	0	0	0	85	558	242	44	-1	
3	1	12	1	0	0	85	558	242	44	-1	
4	1	12	1	1	0	85	558	242	44	-1	
5	1	12	1	1	1	85	558	242	44	94.087738	community.
2	1	13	0	0	0	84	635	90	2	-1	
3	1	13	1	0	0	84	635	90	2	-1	
4	1	13	1	1	0	84	635	90	2	-1	
5	1	13	1	1	1	84	635	90	2	0.000000	————s
2	1	14	0	0	0	1229	588	107	24	-1	
3	1	14	1	0	0	1229	588	107	24	-1	
4	1	14	1	1	0	1229	588	107	24	-1	
5	1	14	1	1	1	1229	588	107	24	96.995560	Providers
2	1	15	0	0	0	84	691	420	28	-1	
3	1	15	1	0	0	84	691	420	28	-1	
4	1	15	1	1	0	84	691	420	28	-1	
5	1	15	1	1	1	80	687	13	39	96.438568	A
5	1	15	1	1	2	112	691	88	25	96.438568	trusted
5	1	15	1	1	3	212	691	120	25	95.707008	collection
5	1	15	1	1	4	343	691	24	25	96.966911	of
5	1	15	1	1	5	377	698	127	21	96.534698	resources,
2	1	16	0	0	0	1228	639	387	89	-1	
3	1	16	1	0	0	1228	639	387	89	-1	
4	1	16	1	1	0	1228	639	387	89	-1	
5	1	16	1	1	1	1228	668	25	24	96.595184	10
5	1	16	1	1	2	1261	669	43	29	96.594193	Top
5	1	16	1	1	3	1313	669	48	59	62.414909	ups
5	1	16	1	1	4	1370	668	32	24	95.664589	for
5	1	16	1	1	5	1412	669	63	23	96.826965	RARE
5	1	16	1	1	6	1486	639	129	89	68.255768	employes
2	1	17	0	0	0	85	738	427	31	-1	
3	1	17	1	0	0	85	738	427	31	-1	
4	1	17	1	1	0	85	738	427	31	-1	
5	1	17	1	1	1	85	738	112	25	96.940590	available
5	1	17	1	1	2	207	739	177	30	96.875145	organizations,
5	1	17	1	1	3	395	738	46	25	96.972000	and
5	1	17	1	1	4	451	738	61	25	96.713882	tools
2	1	18	0	0	0	85	783	440	33	-1	
3	1	18	1	0	0	85	783	440	33	-1	
4	1	18	1	1	0	85	783	440	33	-1	
5	1	18	1	1	1	85	785	114	31	96.937225	designed
5	1	18	1	1	2	210	788	24	21	96.924507	to
5	1	18	1	1	3	245	789	103	27	96.819305	support,
5	1	18	1	1	4	360	783	108	30	96.893646	educate,
5	1	18	1	1	5	479	785	46	24	97.011497	and
2	1	19	0	0	0	1228	726	379	92	-1	
3	1	19	1	0	0	1228	726	380	92	-1	
4	1	19	1	1	0	1228	726	379	92	-1	
5	1	19	1	1	1	1228	726	25	92	0.000000	:
5	1	19	1	1	2	1261	726	43	92	42.323936	Tp
5	1	19	1	1	3	1313	756	51	62	35.695709	ye,
5	1	19	1	1	4	1370	755	33	63	38.833084	ie
5	1	19	1	1	5	1411	726	63	92	44.897839	ma
5	1	19	1	1	6	1486	726	121	92	21.896500	Emon
2	1	20	0	0	0	85	832	490	31	-1	
3	1	20	1	0	0	85	832	490	31	-1	
4	1	20	1	1	0	85	832	490	31	-1	
5	1	20	1	1	1	85	839	120	24	96.659409	empower
5	1	20	1	1	2	215	832	40	25	96.488098	the
5	1	20	1	1	3	266	839	47	18	96.414505	rare
5	1	20	1	1	4	323	832	95	25	96.573296	disease
5	1	20	1	1	5	428	833	147	30	96.517349	community.
2	1	21	0	0	0	1229	851	424	30	-1	
3	1	21	1	0	0	1229	851	424	30	-1	
4	1	21	1	1	0	1229	851	424	30	-1	
5	1	21	1	1	1	1229	851	156	24	96.247551	Bereavement
5	1	21	1	1	2	1395	851	42	24	96.851448	and
5	1	21	1	1	3	1447	851	96	24	96.831589	financial
5	1	21	1	1	4	1554	851	99	30	96.928635	planning
2	1	22	0	0	0	86	879	492	31	-1	
3	1	22	1	0	0	86	879	492	31	-1	
4	1	22	1	1	0	86	879	492	31	-1	
5	1	22	1	1	1	86	879	93	31	96.849808	Explore
5	1	22	1	1	2	190	879	83	31	96.576599	helpful
5	1	22	1	1	3	284	879	143	24	96.503555	information
5	1	22	1	1	4	437	882	24	21	96.524971	to
5	1	22	1	1	5	473	880	105	30	96.913368	navigate
2	1	23	0	0	0	85	926	483	31	-1	
3	1	23	1	0	0	85	926	483	31	-1	
4	1	23	1	1	0	85	926	483	31	-1	
5	1	23	1	1	1	85	926	141	31	96.871101	challenges,
5	1	23	1	1	2	236	926	47	25	96.543716	find
5	1	23	1	1	3	294	929	104	28	96.893494	support,
5	1	23	1	1	4	409	926	46	25	96.489700	and
5	1	23	1	1	5	466	930	102	21	96.635033	connect
2	1	24	0	0	0	1229	912	264	54	-1	
3	1	24	1	0	0	1229	912	264	54	-1	
4	1	24	1	1	0	1229	912	264	54	-1	
5	1	24	1	1	1	1229	912	52	54	6.248329	pee
5	1	24	1	1	2	1292	944	93	22	8.760025	rena
5	1	24	1	1	3	1394	942	81	24	93.254898	Advice
5	1	24	1	1	4	1485	955	8	2	93.254898	-
2	1	25	0	0	0	84	975	465	32	-1	
3	1	25	1	0	0	84	975	465	32	-1	
4	1	25	1	1	0	84	975	465	32	-1	
5	1	25	1	1	1	84	975	52	24	96.616386	with
5	1	25	1	1	2	146	975	40	24	96.979843	the
5	1	25	1	1	3	198	982	120	17	96.921844	resources
5	1	25	1	1	4	327	975	51	24	96.998573	that
5	1	25	1	1	5	388	978	83	21	96.998573	matter
5	1	25	1	1	6	482	978	67	29	96.711113	most.
2	1	26	0	0	0	1229	982	270	30	-1	
3	1	26	1	0	0	1229	982	270	30	-1	
4	1	26	1	1	0	1229	982	270	30	-1	
5	1	26	1	1	1	1229	982	128	30	96.595528	Navigating
5	1	26	1	1	2	1368	982	64	24	96.471535	RARE
5	1	26	1	1	3	1442	982	57	24	96.691055	Grief
2	1	27	0	0	0	1229	1061	264	24	-1	
3	1	27	1	0	0	1229	1061	264	24	-1	
4	1	27	1	1	0	1229	1061	264	24	-1	
5	1	27	1	1	1	1229	1062	156	23	96.750359	Bereavement
5	1	27	1	1	2	1394	1061	81	24	93.274422	Advice
5	1	27	1	1	3	1485	1075	8	2	93.202454	-
2	1	28	0	0	0	1229	1101	268	31	-1	
3	1	28	1	0	0	1229	1101	268	31	-1	
4	1	28	1	1	0	1229	1101	268	31	-1	
5	1	28	1	1	1	1229	1102	67	30	96.997887	Living
5	1	28	1	1	2	1306	1101	49	24	96.977158	with
5	1	28	1	1	3	1366	1102	64	23	97.013199	RARE
5	1	28	1	1	4	1440	1101	57	24	96.982529	Grief
